# prefix,country_code,region_code,city,postal
2a0a:280:11a4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11a9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11aa::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ab::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ac::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ad::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ae::/48,ID,ID-NB,Mataram,83122
2a0a:280:11af::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b3::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11b9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ba::/48,ID,ID-NB,Mataram,83122
2a0a:280:11bb::/48,ID,ID-NB,Mataram,83122
2a0a:280:11bc::/48,ID,ID-NB,Mataram,83122
2a0a:280:11bd::/48,ID,ID-NB,Mataram,83122
2a0a:280:11be::/48,ID,ID-NB,Mataram,83122
2a0a:280:11bf::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c3::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11c9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ca::/48,ID,ID-NB,Mataram,83122
2a0a:280:11cb::/48,ID,ID-NB,Mataram,83122
2a0a:280:11cc::/48,ID,ID-NB,Mataram,83122
2a0a:280:11cd::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ce::/48,ID,ID-NB,Mataram,83122
2a0a:280:11cf::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d3::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11d9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11da::/48,ID,ID-NB,Mataram,83122
2a0a:280:11db::/48,ID,ID-NB,Mataram,83122
2a0a:280:11dc::/48,ID,ID-NB,Mataram,83122
2a0a:280:11dd::/48,ID,ID-NB,Mataram,83122
2a0a:280:11de::/48,ID,ID-NB,Mataram,83122
2a0a:280:11df::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e3::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11e9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ea::/48,ID,ID-NB,Mataram,83122
2a0a:280:11eb::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ec::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ed::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ee::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ef::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f0::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f1::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f2::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f3::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f4::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f5::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f6::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f7::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f8::/48,ID,ID-NB,Mataram,83122
2a0a:280:11f9::/48,ID,ID-NB,Mataram,83122
2a0a:280:11fa::/48,ID,ID-NB,Mataram,83122
2a0a:280:11fb::/48,ID,ID-NB,Mataram,83122
2a0a:280:11fc::/48,ID,ID-NB,Mataram,83122
2a0a:280:11fd::/48,ID,ID-NB,Mataram,83122
2a0a:280:11fe::/48,ID,ID-NB,Mataram,83122
2a0a:280:11ff::/48,ID,ID-NB,Mataram,83122
